Linha de prod,Ordem de prod,Data de prod,Gotas cortadas (toneladas),Peso médio (Kg),Cortes por minuto,Comprimento médio (mm),Diâmetro,Temperatura (F°),Tras-PV (F°),Fritas-PV (F°),Agit-PV (F°),Meio-PV (F°),Frente-PV (F°)
B1,193112,2024-01-01,21.8905,168.4,90.0,78.2,41.6,2059.5200000000004,2320.0,2310.0,2280.0,2260.0,2203.0
B1,193112,2024-01-02,21.8574,168.3,90.0,77.6,41.6,2053.04,2320.0,2310.0,2280.0,2260.0,2202.6
B1,193112,2024-01-03,0.9849,167.8,90.0,110.4,32.5,2505.0200000000004,2341.1,2302.9,2258.9,2220.3,2184.2
B1,192970,2024-01-03,20.9484,169.3,90.0,110.4,32.5,2505.0200000000004,2341.1,2302.9,2258.9,2201.6,2176.4
B1,192970,2024-01-04,21.0216,169.7,89.0,85.6,18.1,3094.5200000000004,2349.6,2299.8,2249.2,2201.0,2173.0
B1,192970,2024-01-05,21.4492,173.6,86.0,140.5,32.9,3369.74,2350.0,2300.0,2250.0,2210.0,2175.0
B1,192970,2024-01-06,21.525600000000004,170.2,86.0,144.7,32.7,3335.18,2350.0,2300.0,2250.0,2210.0,2175.5
B1,192970,2024-01-07,21.4387,171.7,86.7,141.5,30.2,3340.94,2349.6,2300.0,2250.0,2210.0,2177.0
B1,192970,2024-01-08,21.5064,166.5,87.8,140.6,32.5,2519.24,2349.6,2300.0,2250.0,2210.0,2177.0
B1,192970,2024-01-09,21.5235,169.6,88.0,128.4,32.9,1901.48,2350.0,2300.0,2250.0,2210.0,2177.0
B1,192970,2024-01-10,21.4267,169.4,88.0,127.0,33.0,1921.64,2350.0,2300.0,2250.0,2210.0,2177.0
B1,193164,2024-01-11,12.4944,145.3,96.0,110.9,33.9,1975.28,2350.0,2300.0,2250.0,2210.0,2177.0
B1,192970,2024-01-11,7.946799999999998,169.2,84.5,110.9,33.9,1975.28,2350.0,2300.0,2250.0,2210.0,2177.0
B1,193164,2024-01-12,20.0448,148.5,96.0,95.2,35.7,1896.26,2350.0,2300.0,2250.0,2210.0,2179.9
B1,193164,2024-01-13,20.287000000000003,148.5,96.0,87.4,34.0,1921.28,2350.0,2300.0,2250.0,2210.0,2180.0
B1,193164,2024-01-14,20.1206,145.9,96.9,98.0,37.6,1889.4200000000003,2350.0,2300.0,2250.0,2210.0,2177.9
B1,193164,2024-01-15,20.2607,146.6,96.0,99.6,36.2,1881.32,2350.0,2300.0,2245.1,2210.0,2175.9
B1,193164,2024-01-16,20.403,147.1,95.1,98.3,36.5,1892.66,2350.0,2300.0,2245.0,2210.0,2175.0
B1,193164,2024-01-17,20.399600000000003,147.2,86.9,96.7,36.0,1865.3,2350.0,2300.0,2245.0,2210.0,2175.0
B1,193164,2024-01-18,20.4293,148.1,96.0,96.6,36.2,1859.0,2350.0,2300.0,2245.0,2210.0,2174.6
B1,193164,2024-01-19,20.4644,147.8,96.0,97.5,36.4,1780.52,2350.0,2300.0,2245.0,2210.0,2170.0
B1,193164,2024-01-20,20.3529,147.5,96.0,108.6,34.2,1328.9,2350.0,2300.0,2245.0,2210.0,2170.0
B1,193164,2024-01-21,20.4216,148.2,96.0,107.7,34.0,1298.84,2350.0,2300.0,2245.0,2210.0,2166.9
B1,193164,2024-01-22,20.4466,148.9,96.0,104.9,34.5,1340.96,2350.0,2298.7,2245.0,2112.7,2164.6
B1,193206,2024-01-25,22.405900000000003,172.5,90.0,82.2,32.3,2396.84,2264.4,2318.6,2262.6,2256.3,2190.0
B1,193206,2024-01-26,21.225900000000003,171.2,90.0,91.9,38.6,2246.0,2317.7,2320.0,2280.0,2256.9,2190.0
B1,193206,2024-01-27,22.0823,170.5,90.0,91.2,39.0,2227.64,2340.9,2320.0,2280.0,2258.7,2179.0
B1,193207,2024-01-28,8.8231,169.6,60.0,96.3,37.6,2267.24,2340.0,2323.5,2286.4,2262.2,2160.0
B1,193206,2024-01-28,8.5983,170.4,87.4,96.3,37.6,2267.24,2340.0,2330.0,2299.7,2262.2,2160.0
B1,193207,2024-01-29,14.740800000000004,170.6,60.0,99.8,37.1,2288.48,2343.5,2330.0,2299.9,2252.9,2160.1
B1,193207,2024-01-30,14.685,170.1,60.0,94.8,35.0,2310.6200000000003,2350.0,2330.0,2300.0,2245.1,2160.1
B1,193207,2024-01-31,14.8511,171.7,60.9,102.9,36.6,2214.32,2350.0,2330.0,2300.0,2245.1,2160.1
B1,193207,2024-02-01,14.7826,171.5,59.5,101.5,36.8,2229.26,2350.0,2329.9,2300.0,2244.1,2159.4
B1,193207,2024-02-02,14.1687,171.0,60.0,99.5,37.1,2241.32,2350.0,2329.9,2300.0,2244.2,2160.0
B1,193207,2024-02-03,14.749,171.3,60.0,99.7,37.0,2226.92,2350.0,2330.0,2300.0,2244.1,2160.0
B1,193207,2024-02-04,14.776599999999998,171.1,60.0,100.7,36.8,2229.98,2350.0,2330.0,2300.0,2244.1,2160.0
