Ordem de prod,Dia Contado,Dias de Duração,Dia Normalizado,Total de Defeitos no Dia
192970,1,9,0.1111111111111111,222
192970,2,9,0.2222222222222222,249
192970,3,9,0.3333333333333333,268
192970,4,9,0.4444444444444444,242
192970,5,9,0.5555555555555556,232
192970,6,9,0.6666666666666666,229
192970,7,9,0.7777777777777778,191
192970,8,9,0.8888888888888888,222
192970,9,9,1.0,293
193112,1,3,0.3333333333333333,159
193112,2,3,0.6666666666666666,203
193112,3,3,1.0,222
193164,1,12,0.08333333333333333,293
193164,2,12,0.16666666666666666,240
193164,3,12,0.25,171
193164,4,12,0.3333333333333333,231
193164,5,12,0.4166666666666667,229
193164,6,12,0.5,231
193164,7,12,0.5833333333333334,198
193164,8,12,0.6666666666666666,215
193164,9,12,0.75,212
193164,10,12,0.8333333333333334,224
193164,11,12,0.9166666666666666,224
193164,12,12,1.0,193
193206,1,4,0.25,208
193206,2,4,0.5,255
193206,3,4,0.75,287
193206,4,4,1.0,291
193207,1,10,0.1,291
193207,2,10,0.2,243
193207,3,10,0.3,201
193207,4,10,0.4,229
193207,5,10,0.5,201
193207,6,10,0.6,220
193207,7,10,0.7,187
193207,8,10,0.8,201
193207,9,10,0.9,191
193207,10,10,1.0,166
193208,1,2,0.5,127
193208,2,2,1.0,242
193209,1,7,0.14285714285714285,242
193209,2,7,0.2857142857142857,305
193209,3,7,0.42857142857142855,276
193209,4,7,0.5714285714285714,277
193209,5,7,0.7142857142857143,280
193209,6,7,0.8571428571428571,305
193209,7,7,1.0,122
193342,1,20,0.05,180
193342,2,20,0.1,296
193342,3,20,0.15,217
193342,4,20,0.2,211
193342,5,20,0.25,198
193342,6,20,0.3,170
193342,7,20,0.35,195
193342,8,20,0.4,177
193342,9,20,0.45,191
193342,10,20,0.5,168
193342,11,20,0.55,192
193342,12,20,0.6,183
193342,13,20,0.65,161
193342,14,20,0.7,162
193342,15,20,0.75,135
193342,16,20,0.8,184
193342,17,20,0.85,189
193342,18,20,0.9,156
193342,19,20,0.95,177
193342,20,20,1.0,143
193368,1,7,0.14285714285714285,122
