Ordem de prod,Ref. do Artigo,Duração da ordem,Temperatura (F°),Peso médio (g),Comprimento médio (mm),Diâmetro (mm),Gotas cortadas (toneladas),Total de Frascos,Total de Defeitos,Sujo de óleo,Aderido,Dobra,Trinca por choque térmico,Ombro mal cheio,Racho na terminação,Lascado em produção,Frio
192970,C0516.0000R,9,2125.5122222222217,169.91111111111113,125.5111111111111,30.966666666666665,178.788,1052031,2148,437,2,77,176,68,28,12,7
193112,C1164.0000R,3,2173.679999999999,168.16666666666666,88.73333333333333,38.56666666666667,44.732,265727,584,259,0,35,22,0,9,2,0
193164,C1280.0000R,12,2119.4116666666655,147.46666666666667,100.11666666666667,35.43333333333333,236.126,1600487,2661,851,2,43,129,0,220,33,19
193206,C1284.0000R,4,2170.6624999999995,171.15,90.4,36.875,74.312,433842,1041,245,0,26,6,0,65,10,0
193207,C1298.0000R,10,2139.291999999999,170.87,98.22999999999999,36.56,136.915,801014,2130,754,0,27,87,0,79,45,4
193208,C0104.0000R,2,2176.324999999999,122.1,61.0,27.450000000000003,19.743000000000002,161756,369,48,2,4,17,0,3,2,0
193209,C0509.0000R,7,2131.8185714285705,191.35714285714286,44.371428571428574,12.185714285714285,121.813,636428,1807,366,0,130,92,2,30,35,27
193342,C0516.0000R,20,2125.333499999999,169.95499999999998,114.87,33.435,408.755,2405338,3685,1158,8,123,506,92,122,247,0
193368,C1137.0000R,7,2158.7785714285706,171.58571428571426,77.51428571428572,33.82857142857143,147.662,860417,1464,439,0,13,28,0,146,9,0
193459,C0068.0000R,3,2148.189999999999,190.83333333333334,96.66666666666667,37.56666666666666,37.588,197769,505,104,0,6,31,0,13,5,1
193462,C1284.0000R,5,2168.4799999999987,172.44,86.08,40.2,90.984,528003,1241,182,1,7,206,0,121,4,0
193463,C1298.0000R,8,2179.1837499999992,172.2,93.6375,38.75,109.396,635289,1483,619,0,34,13,0,109,4,0
193533,C1165.0000R,8,2133.0362499999983,196.6875,97.5125,38.2625,167.971,853757,1480,577,0,38,4,0,63,7,0
193535,C1332.0000V,3,2154.6433333333325,116.43333333333334,84.0,33.6,48.013,412518,688,150,8,17,11,0,0,26,4
193537,C1203.0000R,3,2169.4899999999993,173.9,81.03333333333333,39.53333333333333,50.788,292212,718,157,0,35,2,0,72,1,0
193594,C1137.0000R,7,2148.83857142857,171.81428571428572,90.74285714285713,39.300000000000004,128.649,748785,1304,404,1,23,31,0,94,1,0
193619,C0121.0000R,5,2134.249999999999,192.57999999999998,97.53999999999999,39.260000000000005,107.616,559024,963,353,0,22,5,0,25,24,2
193671,C0593.0000R,4,2131.944999999999,193.025,98.275,38.175,47.027,243680,776,244,0,14,0,0,5,17,0
193686,C1239.0000V,3,2139.4766666666656,124.10000000000001,63.9,32.333333333333336,39.719,320363,755,132,17,136,29,0,14,0,0
193688,C1349.0000V,3,2116.023333333332,202.46666666666667,76.56666666666666,38.13333333333333,41.725,205933,616,156,1,29,17,0,13,2,2
193689,C1299.0000R,3,2144.936666666666,161.76666666666668,97.66666666666667,34.13333333333333,46.915,290479,872,128,1,24,46,0,46,6,6
193692,C0139.0000R,3,2180.9133333333325,158.03333333333333,89.23333333333333,36.699999999999996,43.501,275404,672,142,1,24,69,0,17,0,1
193694,C0529.0000R,5,2185.889999999999,151.22,88.16,37.239999999999995,90.768,599690,1001,377,8,62,64,0,27,8,0
193782,C1265.0000R,11,2155.041818181817,132.28181818181818,73.7909090909091,38.345454545454544,187.152,1414753,2538,729,100,520,3,0,174,21,2
193783,C1215.0000R,3,2163.4433333333322,188.66666666666666,107.8,35.666666666666664,60.135999999999996,318743,887,182,0,37,41,0,32,1,0
193784,C1203.0000R,11,2136.0681818181806,174.42727272727274,92.07272727272726,39.18181818181818,191.156,1096148,2073,872,3,56,8,1,142,27,1
193852,C1267.0000R,5,2116.7559999999985,198.52,91.56,39.160000000000004,86.127,433650,1123,357,0,8,78,0,52,16,0
193882,C1268.0000R,8,2139.0874999999987,136.5375,75.85,37.525,152.829,1119167,1716,686,11,79,11,0,42,23,0
193937,C1172.0000R,3,2136.996666666665,173.13333333333333,95.76666666666667,36.06666666666667,47.544,274721,622,167,2,2,9,0,22,4,0
193972,C1203.0000R,2,2140.7299999999996,173.95,74.0,38.05,44.598,256195,520,149,8,45,1,0,27,7,2
193973,C1165.0000R,4,2133.1299999999983,196.375,105.375,37.65,92.506,471098,802,214,1,25,26,0,78,5,1
194029,C0132.0000R,4,2144.5399999999986,180.0,101.775,37.675,81.256,451364,821,238,0,9,9,0,79,13,1
194057,C1164.0000R,3,2158.436666666666,169.20000000000002,62.86666666666667,32.53333333333334,66.24,391496,468,251,0,23,25,0,2,9,1
194113,C0104.0000R,3,2165.689999999999,121.26666666666667,76.39999999999999,32.5,37.126999999999995,304858,710,74,0,4,26,0,2,3,8
194121,C0516.0000R,6,2149.4549999999986,168.88333333333333,117.33333333333333,33.36666666666667,127.02499999999999,752098,1436,291,4,20,80,30,88,70,2
