Ordem de prod,Ref. do Artigo,Data de prod,Temperatura (F°),Peso médio (g),Comprimento médio (mm),Diâmetro,Área da gota (mm),Gotas cortadas (toneladas),Total de Frascos no Dia (unidade),Total de Defeitos no Dia,Onda no fundo,Terminação deformada,Racho no anel,Sujo de óleo,Cascão,Frasco caído na esteira,Dupla costura,Frio,Lascado em produção,Dobra,Trinca por choque térmico,Racho na costura,Racho na terminação,Cava no ombro,Ombro mal cheio,Ombro deformado,Martelado,Aderido
192970,C0516.0000R,2024-01-03,2126.9699999999984,169.3,110.4,32.5,3588.0,20.948,123740,222,0,0,0,31,0,0,1,0,0,10,5,0,1,10,0,8,0,0
192970,C0516.0000R,2024-01-04,2118.92,169.7,85.6,18.1,1549.3600000000001,21.022,124294,249,0,1,0,49,0,0,1,0,1,11,14,0,6,6,4,5,0,0
192970,C0516.0000R,2024-01-05,2124.999999999999,173.6,140.5,32.9,4622.45,21.449,126414,268,0,0,0,49,0,0,1,6,0,0,16,0,3,13,26,11,0,0
192970,C0516.0000R,2024-01-06,2125.399999999999,170.2,144.7,32.7,4731.69,21.526,126858,242,0,0,1,73,1,0,0,0,3,7,20,0,5,2,4,6,0,0
192970,C0516.0000R,2024-01-07,2126.759999999999,171.7,141.5,30.2,4273.3,21.439,126856,232,0,0,0,49,2,0,2,1,1,10,8,0,0,7,2,10,2,0
192970,C0516.0000R,2024-01-08,2126.759999999999,166.5,140.6,32.5,4569.5,21.506,126854,229,0,0,0,52,0,0,10,0,1,16,43,0,3,1,11,1,2,0
192970,C0516.0000R,2024-01-09,2126.599999999999,169.6,128.4,32.9,4224.36,21.524,126856,191,0,0,0,46,0,0,7,0,4,8,25,0,2,4,2,4,1,2
192970,C0516.0000R,2024-01-10,2126.599999999999,169.4,127.0,33.0,4191.0,21.427,126858,222,0,0,0,65,0,0,8,0,2,6,20,0,5,3,17,4,1,0
192970,C0516.0000R,2024-01-11,2126.599999999999,169.2,110.9,33.9,3759.51,7.947,47568,293,0,0,0,23,1,0,1,0,0,9,25,0,3,7,2,5,0,0
193112,C1164.0000R,2024-01-01,2189.399999999999,168.4,78.2,41.6,3253.1200000000003,21.89,130178,159,0,0,0,96,0,0,0,0,1,8,14,0,1,0,0,0,0,0
